No,E.Coli,Coliform,Arsen (As),Total Kromium (Cr-T),Kadmium (Cd),Nitrit (NO2-N),Nitrat (NO3-N),Selenium (Se),Alumunium (Al),pH,Sulfat (SO4),Tembaga (Cu),Padatan Terlarut Total (TDS),Kekeruhan,Kelayakan
9272,"0,10","0,100","0,030","0,01","0,080","2,26","14,45","0,060","0,000","6,859","358,430","1,67","488,976","4,93",2
9273,"0,00","0,000","0,006","0,03","0,000","0,95","49,29","0,008","0,143","8,236","6,651","0,2210291584","148,393","2,05",1
9274,"0,00","0,000","0,002","0,02","0,001","0,62","22,69","0,002","0,104","6,972","16,393","0,1685189987","172,757","2,66",1
9275,"0,00","0,000","0,002","0,02","0,001","2,82","11,94","0,007","0,177","6,558","16,658","0,5665579874","246,806","0,09",1
9276,"0,00","0,000","0,003","0,03","0,003","0,44","21,70","0,006","0,159","6,639","32,652","1,040027811","185,921","4,14",1
9277,"0,00","0,000","0,120","0,85","0,030","1,41","15,59","0,000","0,550","6,622","331,954","1,01","369,338","5,47",2
9278,"0,00","0,000","0,004","0,05","0,001","1,70","4,63","0,007","0,163","8,249","36,517","1,75","275,920","0,75",1
9279,"0,00","0,000","0,009","0,01","0,001","2,07","19,13","0,008","0,123","7,889","24,493","0,92","199,901","2,01",1
9280,"0,00","0,000","0,008","0,03","0,002","0,09","23,23","0,008","0,067","8,330","2,848","0,8132266135","167,108","3,13",1
9281,"0,36","0,360","0,070","0,02","0,100","2,05","14,42","0,040","0,030","5,970","370,870",1,"402,947","4,36",2
9282,"0,00","0,000","0,005","0,04","0,003","1,76","4,15","0,008","0,166","7,476","29,589","1,82","205,782","4,44",1
9283,"0,00","0,000","0,006","0,03","0,003","0,22","46,82","0,005","0,178","7,697","5,594","1,733738939","214,641","2,64",1
9284,"0,00","0,000","0,002","0,03","0,003","2,06","8,03","0,006","0,071","6,806","3,444","1,294338341","271,712","4,23",1
9285,"0,00","0,000","0,008","0,03","0,001","1,72","4,38","0,003","0,163","6,582","26,455","0,0916317055","103,911","1,40",1
9286,"0,00","0,000","0,020","0,87","0,007","1,36","3,72","0,070","4,330","5,452","360,233","0,95","395,236","5,19",2
9287,"0,49","0,490","0,010","0,37","0,009","1,66","13,66","0,040","0,310","7,027","380,078","1,2","468,563","4,83",2
9288,"0,00","0,000","0,004","0,01","0,001","1,14","19,59","0,001","0,056","6,589","19,951","0,9626676311","97,909","3,84",1
9289,"0,00","0,000","0,003","0,04","0,003","0,16","16,28","0,006","0,077","8,167","16,141","1,519074764","183,164","4,77",1
9290,"0,00","0,000","0,010","0,02","0,003","0,22","10,24","0,006","0,140","6,988","20,823","0,63","245,621","3,79",1
9291,"0,00","0,000","0,002","0,05","0,001","0,96","10,27","0,003","0,062","6,645","12,479","1,925105114","202,711","3,91",1
9292,"0,00","0,000","0,002","0,05","0,002","0,01","30,40","0,002","0,033","8,159","8,842","1,05618204","118,807","0,21",1
9293,"0,00","0,000","0,100","0,02","0,090","1,29","5,54","0,020","0,070","6,710","352,019","0,05","341,078","4,13",2
9294,"0,00","0,000","0,700","0,90","0,020","1,82","1,91","0,030","2,680","7,234","365,349","1,86","359,775","4,40",2
9295,"1,10","1,100",,,,,,,,"7,030",,,"82,700","0,62",2
9296,"0,05","0,050","0,002","0,03","0,001","0,19","13,92","0,003","0,157","8,210","26,041","0,09","235,095","2,36",1
9297,"0,00","0,000","0,030","0,03","0,000","0,11","7,84","0,030","0,020","9,609","234,853","0,8","434,748","3,88",2
9298,"0,00","0,000","0,010","0,03","0,000","1,08","15,56","0,005","0,013","7,669","7,575","0,2338930675","126,402","1,65",1
9299,"0,00","0,000","0,001","0,05","0,002","0,41","7,67","0,006","0,189","7,574","9,957","1,551894155","295,262","0,94",1
9300,"0,00","0,000","0,010","0,04","0,000","2,53","40,05","0,004","0,015","7,671","14,645","1,208303205","102,026","3,39",1
9301,"0,37","0,370","0,010","0,33","0,004","1,66","13,18","0,050","4,410","5,382","402,954","1,34","475,211","4,69",2
9302,"0,00","0,000","0,007","0,02","0,002","2,17","10,05","0,009","0,182","8,110","33,366","0,1585852628","249,086","1,79",1
9303,"0,00","0,000","0,004","0,03","0,002","1,30","7,65","0,005","0,136","6,710","26,448","0,99","66,964","0,21",1
9304,"0,00","0,000","0,002","0,05","0,002","1,83","35,07","0,004","0,159","7,567","33,655","0,733313897","140,978","1,71",1
9305,"0,00","0,000","0,004","0,05","0,001","1,44","2,68","0,010","0,117","7,076","10,863","1,08","158,022","4,44",1
9306,"0,00","0,000","0,001","0,59","0,005","1,87","2,65","0,080","2,020","7,749","361,221","1,07","401,731","3,81",2
9307,"0,00","0,000","0,002","0,05","0,002","0,69","19,44","0,006","0,018","7,290","5,147","0,92","167,397","1,61",1
9308,"0,00","0,000","0,005","0,04","0,000","0,54","6,63","0,004","0,061","7,364","28,099","0,07","266,189","3,21",1
9309,"0,62","0,620","0,050","0,08","0,000","1,58","2,39","0,020","0,020","6,323","332,615","0,66","367,989","3,98",2
9310,"0,00","0,000","0,008","0,03","0,001","0,11","17,06","0,002","0,026","6,876","20,469","1,3833161","233,557","1,55",1
9311,"0,00","0,000","0,008","0,02","0,002","0,60","7,18","0,004","0,024","7,461","29,723","1,957588035","199,839","0,65",1
9312,"0,20","0,200","0,740","0,85","0,050","1,92","7,04","0,030","0,080","8,437","298,552","0,77","303,496","2,92",2
9313,"0,00","0,000","0,540","0,18","0,040","1,38","15,69","0,030","0,810","6,589","286,224","0,7","585,223","4,56",2
9314,"0,00","0,000","0,050","0,10","0,010","0,07","16,37","0,090","0,000","5,141","387,686","0,01","519,863","3,54",2
9315,"0,59","0,590","0,030","0,32","0,007","1,75","18,98","0,020","0,060","9,131","381,459","1,37","347,565","5,06",2
9316,"0,00","0,000","0,010","0,58","0,001","1,57","15,03","0,030","4,390","7,058","341,036","0,24","376,570","4,96",2
9317,"0,00","0,000","0,003","0,03","0,002","1,56","6,78","0,002","0,031","8,487","35,709","0,2604184657","245,256","2,54",1
9318,"0,74","0,740","0,060","0,09","0,090","2,01","7,33","0,000","0,100","8,693","344,880","0,19","553,617","4,16",2
9319,"0,00","0,000","0,040","0,07","0,060","0,42","2,44","0,070","0,060","7,274","359,406","0,08","599,546","5,09",2
9320,"0,16","0,160","0,690","0,25","0,010","1,80","17,14","0,080","0,250","5,815","321,586","1,09","345,020","4,12",2
9321,"0,02","0,020","0,010","0,04","0,000","1,91","6,22","0,007","0,067","6,568","15,183","1,5","114,821","3,63",1
9322,"0,00","0,000","0,009","0,04","0,003","2,13","36,35","0,010","0,037","7,162","7,569","1,90269029","50,656","0,89",1
9323,"0,00","0,000","0,007","0,01","0,001","0,93","25,69","0,009","0,127","7,085","37,560","0,8588767491","179,813","4,43",1
9324,"0,08","0,080","0,090","0,72","0,120","1,91","10,64","0,030","0,060","8,207","341,346","0,46","411,983","4,31",2
9325,"0,00","0,000","0,002","0,04","0,003","2,67","19,54","0,009","0,009","7,395","34,203","0,556428184","294,253","0,90",1
9326,"0,00","0,000","0,007","0,02","0,002","0,58","18,22","0,009","0,058","7,272","32,683","0,35","146,583","3,32",1
9327,"0,00","0,000","0,008","0,03","0,001","0,83","18,77","0,007","0,070","7,935","5,595","0,609515198","276,861","1,12",1
9328,"0,44","0,440","0,030","0,26","0,008","1,20","3,82","0,090","0,080","6,158","353,607","0,5","377,000","3,72",2
9329,"0,02","0,020","0,040","0,04","0,050","0,43","16,05","0,030","0,000","6,102","342,872","0,03","543,529","3,20",2
9330,"0,38","0,380","0,010","0,72","0,008","1,28","8,21","0,060","0,940","8,692","336,994","0,3","494,158","4,64",2
9331,"0,00","0,000","0,008","0,02","0,002","0,20","22,34","0,007","0,142","7,074","5,687","0,7840601632","206,849","4,89",1
9332,"0,81","0,810","0,600","0,34","0,090","1,15","0,84","0,080","4,600","8,136","367,805","1,95","440,543","3,34",2
9333,"0,41","0,410","0,060","0,10","0,030","1,82","10,39","0,060","0,060","6,597","274,975","1,98","309,608","3,95",2
9334,"0,00","0,000","0,004","0,03","0,001","2,20","42,44","0,010","0,156","8,228","23,383","1,541813765","130,546","2,08",1
9335,"0,00","0,000","0,030","0,06","0,050","0,19","16,56","0,060","0,030","4,763","320,449","0,06","522,028","4,16",2
9336,"0,00","0,000","0,004","0,02","0,001","2,92","14,75","0,007","0,196","6,956","7,902","0,6471403701","271,944","2,84",1
9337,"0,38","0,380","0,290","0,11","0,060","1,36","12,06","0,070","0,570","9,672","386,700","0,53","496,998","5,13",2
9338,"0,00","0,000","0,005","0,02","0,002","0,54","41,44","0,003","0,199","7,561","31,490","1,947815441","152,894","3,59",1
9339,"0,00","0,000","0,006","0,02","0,002","0,12","44,69","0,002","0,041","7,058","22,183","0,154651855","257,618","2,10",1
9340,"0,00","0,000","0,001","0,04","0,001","1,10","8,83","0,006","0,130","6,705","4,654","0,01","289,149","1,81",1
9341,"0,00","0,000","0,004","0,03","0,000","0,52","14,27","0,002","0,065","8,114","36,160","1,96","80,461","4,58",1
9342,"0,00","0,000","0,003","0,04","0,003","0,16","23,82","0,004","0,187","7,566","20,447","1,862681257","234,405","3,61",1
9343,"0,00","0,000","0,005","0,01","0,002","2,02","0,42","0,006","0,073","7,017","3,858","1,671302912","100,794","3,06",1
9344,"0,00","0,000","0,008","0,04","0,000","0,89","6,63","0,005","0,143","8,358","17,505","0,9996093708","215,110","1,70",1
9345,"0,75","0,750","0,720","0,68","0,110","1,28","1,27","0,000","0,260","7,362","316,959","0,71","378,086","5,54",2
9346,"0,00","0,000","0,080","0,06","0,050","0,20","7,89","0,020","0,100","5,158","335,796","0,57","465,217","3,12",2
9347,"0,00","0,000","0,001","0,02","0,002","1,34","39,11","0,008","0,072","8,105","23,054","1,086321986","110,176","3,75",1
9348,"0,00","0,000","0,006","0,04","0,003","0,04","16,63","0,010","0,011","8,108","8,513","0,08","91,223","2,58",1
9349,"0,00","0,000","0,005","0,02","0,003","0,31","2,31","0,002","0,050","6,789","2,524","0,07","237,394","0,88",1
9350,"0,00","0,000","0,080","0,06","0,010","1,31","18,27","0,070","0,000","5,621","361,440","1,23","287,596","3,35",2
9351,"0,24","0,240","0,020","0,09","0,040","1,48","7,21","0,040","0,090","6,851","337,048","0,05","414,771","3,98",2
9352,"0,00","0,000","0,001","0,02","0,002","2,83","42,64","0,001","0,196","7,250","10,849","1,870711096","94,969","2,35",1
9353,"0,00","0,000","0,040","0,72","0,009","1,50","8,87","0,070","2,990","7,804","293,746","0,93","453,167","5,43",2
9354,"0,00","0,000","0,002","0,04","0,001","0,91","49,77","0,003","0,158","6,885","19,817","1,777817215","170,294","1,49",1
9355,"0,97","0,970","0,010","0,45","0,002","1,30","5,79","0,010","0,170","9,052","290,053","1,13","601,033","2,69",2
9356,"0,58","0,580","0,020","0,65","0,007","1,50","8,96","0,030","0,000","6,885","310,845","1,51","435,418","3,76",2
9357,"0,49","0,490","0,060","0,01","0,100","1,20","17,32","0,090","0,030","6,964","374,477","0,05","447,988","2,60",2
9358,"0,25","0,250","0,030","0,52","0,002","1,27","14,05","0,010","0,150","5,668","338,897","1,69","485,805","3,83",2
9359,"0,00","0,000","0,005","0,02","0,002","0,39","8,65","0,010","0,027","8,333","12,676","0,4409452095","94,958","0,82",1
9360,"0,00","0,000","0,003","0,04","0,001","1,17","10,30","0,003","0,071","7,516","10,353","1,4","120,830","3,13",1
9361,"0,30","0,300","0,890","0,45","0,070","2,09","15,44","0,050","0,980","8,142","379,788","1,46","483,824","4,26",2
9362,"0,00","0,000","0,002","0,04","0,001","2,07","12,89","0,005","0,077","8,352","1,201","0,7930462541","128,036","0,95",1
9363,"0,45","0,450","0,040","0,77","0,001","1,38","9,55","0,050","4,550","8,146","337,462","0,36","425,752","4,96",2
9364,"0,00","0,000","0,005","0,02","0,003","2,16","45,15","0,003","0,026","6,666","3,038","1,233143715","185,660","0,04",1
9365,"0,00","0,000","0,005","0,03","0,001","2,70","26,15","0,003","0,010","7,126","38,958","1,338506398","133,900","2,88",1
9366,"0,00","0,000","0,070","0,10","0,020","0,87","17,42","0,040","0,100","3,907","378,759","1,43","283,652","2,61",2
9367,"0,92","0,920","0,010","0,03","0,050","1,20","10,55","0,070","0,090","5,445","288,566","1,43","464,803","4,53",2
9368,"0,89","0,890","0,190","0,14","0,120","1,78","5,73","0,030","0,360","8,186","375,619","0,91","438,809","5,24",2
9369,"0,09","0,090","0,010","0,86","0,009","1,13","16,10","0,040","0,150","8,140","364,081","1,61","548,918","4,30",2
9370,"0,43","0,430","0,010","0,18","0,002","1,47","17,54","0,020","3,380","6,624","350,397","0,46","441,524","4,85",2
9371,"0,57","0,570","0,080","0,05","0,080","0,20","4,40","0,020","0,040","4,731","332,882","1,23","394,829","4,37",2
9372,"0,00","0,000","0,004","0,01","0,001","1,03","14,54","0,003","0,086","6,824","38,673","0,5264695501","220,070","2,14",1
9373,"0,00","0,000","0,005","0,05","0,001","2,64","49,23","0,008","0,110","8,283","26,147","1,868220725","198,974","2,17",1
9374,"0,00","0,000","0,040","0,06","0,040","0,32","3,01","0,090","0,030","6,794","359,949","0,09","366,813","5,76",2
9375,"0,00","0,000","0,040","0,02","0,009","1,12","17,89","0,090","1,400","6,685","279,767","0,48","592,885","4,45",2
9376,"0,00","0,000","0,002","0,02","0,002","0,55","0,50","0,002","0,165","8,335","2,998","1,59","169,265","2,20",1
9377,"0,00","0,000","0,002","0,04","0,002","2,54","43,86","0,001","0,150","6,792","20,996","0,7146460699","220,060","2,51",1
9378,"1,10","1,100",,,,,,,,"7,470",,,"154,300","0,96",2
9379,"0,00","0,000","0,003","0,04","0,001","0,74","42,11","0,004","0,128","6,696","12,185","0,3224007746","79,645","2,62",1
9380,"0,00","0,000","0,040","0,07","0,090","0,22","8,16","0,070","0,080","5,353","326,794","1,92","422,600","3,08",2
9381,"0,00","0,000","0,030","0,16","0,001","1,91","12,05","0,050","2,250","7,017","315,283","0,99","495,945","3,88",2
9382,"0,00","0,000","0,004","0,05","0,001","1,69","15,58","0,006","0,152","6,710","9,449","1,186098579","240,112","1,08",1
9383,"0,01","0,010","0,004","0,02","0,002","0,52","11,57","0,003","0,074","6,676","35,648","0,43","104,788","1,65",1
9384,"0,00","0,000","0,004","0,02","0,003","0,40","11,58","0,007","0,071","7,927","15,284","1,071256833","136,118","4,52",1
9385,"0,92","0,920","0,730","0,46","0,020","1,36","15,97","0,010","0,020","5,452","337,039","0,05","358,849","5,55",2
9386,"0,86","0,860","0,020","0,61","0,004","1,26","1,20","0,090","3,730","5,863","322,107","1,67","399,284","4,06",2
9387,"0,00","0,000","0,005","0,04","0,002","2,19","48,96","0,004","0,079","7,967","17,167","1,520442092","236,576","4,33",1
9388,"0,00","0,000","0,010","0,01","0,002","1,15","23,94","0,003","0,154","7,954","23,205","0,2402968772","128,714","0,16",1
9389,"0,00","0,000","0,010","0,03","0,002","0,58","7,57","0,009","0,146","7,412","2,514","0,9388690319","274,596","3,60",1
9390,"0,00","0,000","0,005","0,02","0,000","2,05","18,91","0,001","0,174","6,509","10,828","1,641554645","195,154","3,03",1
9391,"0,53","0,530","0,030","0,01","0,003","1,25","12,84","0,030","3,380","8,742","278,250","0,93","428,415","3,59",2
9392,"0,00","0,000","0,020","0,30","0,003","1,56","17,64","0,050","1,010","7,422","274,904","0,23","435,603","3,69",2
9393,"0,00","0,000","0,002","0,01","0,001","0,81","39,89","0,009","0,085","8,124","4,272","1,944853237","166,993","1,33",1
9394,"0,31","0,310","0,160","0,89","0,070","2,08","4,54","0,010","0,090","6,824","341,809","0,52","481,137","4,48",2
9395,"0,00","0,000","0,005","0,03","0,001","1,42","4,00","0,009","0,100","7,483","24,902","1,74","120,388","3,53",1
9396,"0,67","0,670","0,000","0,05","0,040","1,15","11,69","0,070","0,040","7,796","357,935","0,66","475,549","4,41",2
9397,"0,00","0,000","0,009","0,02","0,003","2,16","18,36","0,005","0,195","7,031","20,329","1,73274775","259,312","2,16",1
9398,"0,00","0,000","0,006","0,03","0,003","0,26","7,03","0,004","0,131","6,745","37,613","0,8722048627","163,119","4,20",1
9399,"0,00","0,000","0,008","0,01","0,001","0,49","1,63","0,007","0,155","8,003","15,029","0,36","254,728","3,63",1
9400,"0,64","0,640","0,530","0,25","0,020","1,16","17,32","0,050","0,030","5,325","306,495","0,09","376,570","4,36",2
9401,"0,11","0,110","0,970","0,43","0,110","1,80","19,70","0,080","0,010","7,918","364,106","0,03","551,476","4,08",2
9402,"0,61","0,610","0,350","0,49","0,130","2,06","8,04","0,030","0,230","7,582","351,419","0,04","472,064","3,69",2
9403,"0,18","0,180","0,020","0,60","0,003","1,53","14,24","0,090","0,080","6,126","340,046","1,34","413,692","4,60",2
9404,"0,00","0,000","0,010","0,05","0,001","0,25","45,24","0,009","0,026","7,366","23,084","0,1848942828","248,446","4,20",1
9405,"0,00","0,000","0,002","0,04","0,000","1,00","1,69","0,007","0,182","7,329","35,134","0,03","219,464","2,52",1
9406,"0,79","0,790","0,030","0,81","0,007","1,87","15,92","0,070","3,630","8,680","360,071","1,23","363,129","4,63",2
9407,"0,01","0,010","0,020","0,33","0,005","1,69","6,74","0,060","2,690","5,970","444,376","0,07","318,884","4,56",2
9408,"0,00","0,000","0,005","0,02","0,002","2,35","6,07","0,009","0,160","6,786","34,977","0,1165318142","236,850","3,09",1
9409,"0,00","0,000","0,010","0,04","0,003","1,77","15,80","0,008","0,057","6,849","29,144","0,1012165606","244,351","2,61",1
9410,"0,00","0,000","0,008","0,05","0,001","0,75","5,55","0,003","0,086","7,121","31,288","0,05","138,959","0,12",1
9411,"0,00","0,000","0,009","0,05","0,000","1,65","0,48","0,008","0,084","7,763","28,026","1,77","186,517","1,71",1
9412,"0,00","0,000","0,002","0,01","0,001","2,64","18,91","0,008","0,066","6,892","8,231","1,942732058","174,552","3,51",1
9413,"0,00","0,000","0,004","0,01","0,002","1,42","35,57","0,006","0,168","7,352","10,720","0,7449528508","125,854","2,70",1
9414,"0,00","0,000","0,009","0,02","0,003","2,16","21,30","0,002","0,009","7,864","34,610","1,609039622","97,097","1,84",1
9415,"0,79","0,790","0,040","0,27","0,006","1,14","0,65","0,060","0,180","7,917","385,197","0,6","446,840","5,32",2
9416,"0,00","0,000","0,007","0,02","0,002","1,72","17,33","0,006","0,130","6,708","37,419","0,09385356937","53,254","1,23",1
9417,"0,00","0,000","0,006","0,02","0,003","0,84","0,69","0,008","0,096","7,285","34,056","1,881665369","87,700","2,03",1
9418,"0,00","0,000","0,004","0,05","0,000","0,12","18,71","0,002","0,138","8,341","11,040","0,5419124287","235,034","0,71",1
9419,"0,00","0,000","0,010","0,03","0,002","2,06","7,71","0,009","0,085","7,811","36,614","0,82","100,719","1,82",1
9420,"0,13","0,130","0,010","0,23","0,002","1,57","5,40","0,040","0,070","10,504","348,777","0,01","298,991","3,58",2
9421,"0,00","0,000","0,004","0,04","0,001","0,79","36,88","0,003","0,058","8,151","29,906","0,9370404212","164,701","0,31",1
9422,"0,31","0,310","0,080","0,10","0,040","1,96","9,85","0,090","0,080","6,965","289,208","1,8","338,957","4,57",2
9423,"0,00","0,000","0,003","0,03","0,002","2,70","47,23","0,002","0,031","7,078","28,317","0,9802708551","233,536","0,07",1
9424,"0,78","0,780","0,040","0,05","0,050","1,82","17,18","0,050","1,120","7,941","354,708","1,65","482,842","4,50",2
9425,"0,00","0,000","0,070","0,09","0,090","0,05","12,31","0,100","0,090","8,576","299,416","0,04","346,541","3,69",2
9426,"0,00","0,000","0,007","0,03","0,002","0,18","0,55","0,007","0,029","7,744","17,657","0,09","265,063","0,53",1
9427,"0,00","0,000","0,060","0,03","0,010","1,73","11,80","0,070","0,090","7,426","295,591","0,05","447,032","3,49",2
9428,"0,00","0,000","0,002","0,05","0,001","0,97","6,69","0,006","0,158","6,873","3,623","0,09","237,442","4,92",1
9429,"0,00","0,000","0,006","0,05","0,002","2,34","40,62","0,010","0,040","6,542","6,114","0,9181963331","63,850","4,65",1
9430,"0,00","0,000","0,004","0,04","0,001","0,82","18,45","0,008","0,045","6,971","29,156","1,143321905","287,094","3,62",1
9431,"0,00","0,000","0,008","0,01","0,000","0,68","16,37","0,002","0,107","7,263","2,178","0,02","274,099","3,74",1
9432,"0,00","0,000","0,006","0,02","0,002","2,41","44,75","0,005","0,047","6,825","19,514","0,1097455551","197,007","2,32",1
9433,"0,00","0,000","0,010","0,11","0,001","1,97","17,62","0,020","2,920","5,227","262,996","1,17","513,540","3,92",2
9434,"0,00","0,000","0,002","0,05","0,001","0,41","21,23","0,005","0,190","8,285","23,934","0,2720335127","149,354","1,72",1
9435,"0,61","0,610","0,050","0,09","0,070","1,30","17,63","0,000","0,090","6,770","285,433","0,15","415,051","3,35",2
9436,"0,00","0,000","0,100","0,05","0,060","0,41","10,66","0,000","0,020","7,461","358,847",0,"363,571","4,74",2
9437,"0,00","0,000","0,005","0,02","0,002","0,98","25,42","0,002","0,148","7,580","31,331","0,06910471688","163,537","4,58",1
9438,"0,22","0,220","0,010","0,00","0,010","1,73","13,82","0,000","0,030","10,774","287,698","1,82","536,721","3,28",2
9439,"0,00","0,000","0,430","0,22","0,100","1,50","19,38","0,080","3,350","7,263","281,678","0,95","400,004","5,47",2
9440,"0,00","0,000","0,001","0,32","0,007","1,09","1,41","0,000","1,060","6,670","369,191","1,21","408,854","4,00",2
9441,"0,00","0,000","0,003","0,03","0,000","1,92","26,62","0,008","0,141","7,990","26,386","1,168197773","221,757","0,51",1
9442,"0,00","0,000","0,004","0,04","0,001","0,74","3,08","0,005","0,053","7,591","9,590","0,6711221883","296,257","0,43",1
9443,"0,00","0,000","0,002","0,02","0,003","0,24","2,26","0,002","0,103","7,483","6,138","0,1889537796","140,941","3,37",1
9444,"0,00","0,000","0,090","0,03","0,040","0,32","16,44","0,040","0,000","9,043","321,160","0,75","514,422","4,19",2
9445,"0,00","0,000","0,090","0,04","0,080","0,04","1,79","0,090","0,030","5,670","312,427","0,06","329,266","5,08",2
9446,"0,00","0,000","0,007","0,02","0,002","0,86","26,03","0,001","0,127","7,694","28,770","1,381537622","223,250","1,87",1
9447,"0,00","0,000","0,040","0,07","0,010","0,80","17,75","0,060","0,070","4,839","372,748","0,08","298,053","4,55",2
9448,"0,00","0,000","0,040","0,83","0,001","1,91","17,91","0,040","0,360","9,486","268,212","0,73","544,339","3,95",2
9449,"0,56","0,560","0,040","0,07","0,050","0,46","10,14","0,060","0,090","9,149","323,684","1,75","526,705","3,60",2
9450,"0,06","0,060","0,440","0,24","0,100","2,33","3,54","0,020","0,080","4,946","366,146","0,31","297,764","4,22",2
9451,"0,00","0,000","0,006","0,05","0,003","0,94","17,99","0,001","0,055","7,194","5,759","0,01","112,447","2,79",1
9452,"0,22","0,220","0,700","0,73","0,050","1,39","2,16","0,010","1,740","4,761","389,393","1,78","417,287","3,97",2
9453,"0,00","0,000","0,070","0,09","0,060","0,63","12,27","0,020","0,080","11,180","337,174","0,85","352,039","2,75",2
9454,"0,00","0,000","0,006","0,04","0,000","1,49","36,34","0,009","0,045","8,280","28,699","1,305234372","299,142","4,49",1
9455,"0,00","0,000","0,002","0,04","0,001","1,89","35,25","0,006","0,012","8,161","16,284","0,9578269135","188,052","3,98",1
9456,"1,10","1,100",,,,,,,,"7,370",,,"160,800","0,61",2
9457,"0,00","0,000","0,004","0,01","0,003","0,59","48,55","0,006","0,008","7,068","1,996","1,705287006","133,126","0,18",1
9458,"0,00","0,000","0,010","0,02","0,003","0,06","31,95","0,001","0,029","8,385","11,982","0,2112792125","157,786","0,42",1
9459,"0,00","0,000","0,003","0,04","0,001","2,01","38,30","0,006","0,141","7,706","5,483","1,511435301","278,342","4,72",1
9460,"0,25","0,250","0,000","0,04","0,060","1,48","0,88","0,060","0,020","5,843","327,552","0,41","500,169","4,57",2
9461,"0,00","0,000","0,020","0,06","0,050","2,11","1,45","0,060","0,060","7,104","401,737","0,02","550,137","4,40",2
9462,"0,00","0,000","0,003","0,05","0,002","0,12","25,51","0,007","0,174","7,483","15,463","1,593414445","142,780","0,76",1
9463,"0,41","0,410","0,020","0,08","0,000","0,57","17,53","0,020","0,080","8,307","302,612","0,16","407,732","4,26",2
9464,"0,00","0,000","0,070","0,03","0,070","1,00","15,15","0,030","0,000","7,595","314,391","0,04","449,951","5,30",2
9465,"0,93","0,930","0,080","0,01","0,060","1,59","11,75","0,090","0,020","6,224","356,212","0,8","430,935","4,87",2
9466,"0,00","0,000","0,020","0,06","0,050","0,64","9,68","0,050","0,010","8,722","282,312","0,05","510,945","2,12",2
9467,"0,00","0,000","0,070","0,07","0,040","0,60","0,14","0,070","0,100","6,947","263,901","0,02","360,996","5,44",2
9468,"0,00","0,000","0,006","0,02","0,003","2,09","1,31","0,003","0,192","6,793","32,319","1,86244157","77,971","4,95",1
9469,"0,00","0,000","0,100","0,03","0,050","0,06","14,85","0,030","0,060","7,023","350,535",0,"371,580","3,93",2
9470,"0,31","0,310","0,000","0,02","0,070","1,09","13,53","0,090","0,020","8,862","348,777","1,47","365,092","5,15",2
9471,"0,00","0,000","0,005","0,05","0,003","2,15","0,20","0,003","0,125","7,700","6,616","0,9390585019","255,271","3,84",1
9472,"0,00","0,000","0,006","0,02","0,002","0,19","10,15","0,009","0,027","8,265","7,974","0,05","270,486","2,55",1
9473,"0,00","0,000","0,005","0,03","0,001","1,92","13,74","0,004","0,111","6,840","27,437","0,07","50,606","3,91",1
9474,"0,00","0,000","0,001","0,02","0,002","0,92","14,38","0,007","0,170","7,902","12,637","0,09","238,581","4,33",1
9475,"0,00","0,000","0,002","0,05","0,002","2,07","1,00","0,004","0,094","6,740","7,574","0,1772199328","151,261","2,06",1
9476,"0,00","0,000","0,010","0,09","0,060","2,51","10,80","0,080","0,080","7,957","418,559","0,04","523,242","2,72",2
9477,"0,00","0,000","0,005","0,04","0,000","2,17","48,90","0,008","0,171","6,823","28,876","1,252567862","280,227","4,69",1
9478,"0,00","0,000","0,003","0,04","0,002","0,56","21,03","0,006","0,042","6,685","31,291","1,02614315","137,976","2,71",1
9479,"0,00","0,000","0,004","0,03","0,001","1,06","5,56","0,007","0,059","7,385","6,781","0,3461841141","75,522","3,66",1
9480,"0,50","0,500","0,050","0,05","0,070","0,73","4,96","0,050","0,060","6,703","317,257","0,15","269,818","4,43",2
9481,"0,00","0,000","0,003","0,02","0,002","1,16","5,46","0,003","0,155","7,890","24,501","1,492465747","291,476","3,77",1
9482,"0,00","0,000","0,030","0,08","0,060","0,56","2,65","0,040","0,070","6,710","304,648",0,"695,370","2,23",2
9483,"0,00","0,000","0,010","0,03","0,002","0,03","14,66","0,008","0,080","7,788","4,489","0,08","91,195","0,79",1
9484,"0,97","0,970","0,380","0,50","0,040","1,13","12,03","0,060","3,590","5,892","304,032","1,58","593,562","4,67",2
9485,"0,00","0,000","0,040","0,41","0,003","1,23","16,09","0,060","4,390","4,059","358,337","1,26","371,883","2,90",2
9486,"0,14","0,140","0,010","0,04","0,002","1,51","11,63","0,030","3,750","6,948","400,164","0,36","407,320","3,42",2
9487,"0,00","0,000","0,680","0,49","0,090","1,52","17,56","0,070","3,510","6,816","312,399","0,41","295,654","3,18",2
9488,"0,00","0,000","0,003","0,05","0,002","0,55","8,29","0,004","0,104","8,260","25,519","0,66","122,904","4,43",1
9489,"0,00","0,000","0,060","0,01","0,030","1,85","14,40","0,040","0,070","10,578","340,390","1,2","587,842","4,30",2
9490,"0,62","0,620","0,430","0,25","0,100","2,02","5,50","0,070","0,010","7,606","363,692","0,07","503,171","3,67",2
9491,"0,27","0,270","0,001","0,23","0,001","1,90","4,13","0,010","0,050","8,289","392,462","1,37","396,811","3,08",2
9492,"0,69","0,690","0,050","0,08","0,050","0,68","15,47","0,060","0,090","6,415","344,161","1,94","275,317","5,43",2
